FS_PERM_SEC_ID,ENTITY_NAME,FF_MKT_VAL_CURR,FF_CURR_PS_CF,FF_PBK_SECS_CURR,FF_PE_SECS_CURR,DATE,FF_SALES,FF_NET_INCOME,FF_ASSETS,FF_DFD_TAX_ITC,FF_DEBT,FF_EPS_REPORTED,FF_EQ_TOT,FF_EPS_BASIC,FF_COGS,FF_CAPEX
DBQ20D-S-US,AMERICAN EXPRESS CO,86785.6,10.3233943515738,4.15375,26.5537,20171231,35747,2715,181159,-1647,59082,2.97,18227,2.98,11147,1063
QFDBDF-S,AMERICAN EXPRESS CREDIT CORP,,-150,,,20171231,1140,-603,35889,,31728,,1871,,0,0
JSC16Z-S,SPRINGLEAF FINANCE CORP,,53.6416214100345,,,20171231,1676,94,10824,-24,7865,,2406,,307,0
P0SRHW-S-US,TIVITY HEALTH INC,1405.63,3.31660648008827,4.76826,20.5779,20171231,556.942,58.982,678.816,-25.166,148.221,1.5,271.953,1.4986,398.962,5.91
S8TF9W-S-US,AMERICAN INTERNATIONAL GROUP INC,48160.7,5.47520672665072,0.766987,,20171231,51510,-6084,498301,-14033,31640,-6.54,65708,-6.54,,0
QQ44SG-S-US,AMERICAN NATIONAL BANKSHARES INC /VA/,353.109,2.37195682131373,1.65511,18.8605,20171231,76.899,15.249,1816.078,,62.552,1.76,208.717,1.76,,2.648
TNZZ72-S-US,AMERICAN SHARED HOSPITAL SERVICES,17.13,1.66725043782837,0.704909,8.57143,20171231,19.556,1.923,60.275,2.91,23.143,0.33,29.885,0.33,10.969,0.803
JH8G5Q-S,PRUDENTIAL ANNUITIES LIFE ASSURANCE CORP,,25994.32,,,20171231,2304.058,-83.504,59960.85,,989.282,,6281.05,,,0
KHYJ27-S-US,AMERICAN SOFTWARE INC,476.106,0.64088393523394,4.16536,38.3,20170430,106.286,14.621,152.661,1.994,0,0.49,103.75,0.5,52.125,4.455
KXDH6G-S-US,AMERICAN VANGUARD CORP,639.132,1.68351972142235,2.05976,29.3151,20171231,355.047,20.274,550.236,16.284,77.486,0.68,305.314,0.7,207.655,6.666
TVMRL3-S-US,AMERICAN WOODMARK CORP,1517.82,6.61982105203169,2.60303,22.9443,20170430,1030.248,71.199,501.273,-18.047,16.877,4.34,352.449,4.38,809.012,25.531
D7DHD4-S-US,AMETEK INC,17732,4.05664589621684,4.39526,23.203,20171231,4300.17,681.47,7796.064,512.526,2174.289,2.94,4027.633,2.96,2704.231,75.074
T8GLHL-S-US,AMGEN INC,128153,5.47992188755268,8.61865,54.9972,20171231,22784,1979,79954,1166,35342,2.69,25241,2.71,4069,664
LMYX4V-S-US,AMPCO PITTSBURGH CORP,124.856,1.26443941109853,0.77135,,20171231,432.401,-12.089,565.599,-1.157,66.153,-0.98,161.761,-0.98,380.729,14.899
WL12NL-S-US,AMPHENOL CORP,28191.1,3.9120634719813,7.19159,40.9869,20171231,7011.3,650.5,10003.9,209.2,3542.6,2.06,4043.4,2.13,4701.3,226.6
GW0BCB-S-US,CALIFORNIA FIRST NATIONAL BANCORP,170.457,0.45021392454297,0.850071,15.6368,20170630,36.687,11.123,719.48,5.569,40.279,1.08,196.134,1.08,,0.616
F5YQW0-S-US,AMREP CORP,59.7944,0.57271161417322,0.687923,245.22,20170430,40.872,-0.015,116.104,-9.519,0,0,84.833,-0.0019,35.87,0.249
X8RK3M-S-US,AMTECH SYSTEMS INC,85.1942,1.62708723588535,0.827942,4.17518,20170930,164.516,9.131,191.623,-0.2,8.495,0.68,90.483,0.68,112.584,1.256
WX8272-S-US,BOVIE MEDICAL CORP,164.028,-0.03276713648957,7.5652,,20171231,38.883,-5.062,30.988,0.368,2.834,-0.17,22.032,-0.1611,27.128,0.624
MC1T17-S-US,ANACOMP INC,4.22142,0.34998649743451,1.96959,4.10663,20170930,7.703,1.028,10.847,,0.199,0.2776,2.143,0.2776,4.32,0.26
PN3GCR-S-US,ANADARKO PETROLEUM CORP,34954.2,9.59234487135673,3.93504,83.4985,20171231,10965,-464,42086,2234,15689,-0.85,13790,-0.85,9506,5031
P0X865-S-US,ANALOG DEVICES INC,35813.8,1.9428143123293,3.38334,34.1201,20171031,5107.503,725.016,21141.294,1642.361,7851.084,2.07,10161.54,2.09,2345.446,219.94
BCC9YN-S-US,ANALOGIC CORP,,4.90489521676532,,,20170731,486.372,-74.237,538.083,-5.168,0,-5.96,460.494,-5.96,293.981,9.116
M0BWC3-S-US,CGROWTH CAPITAL INC,2.95517,-0.00762145099932,,,20171231,0.468382,-3.526277,27.79154,,25.093196,0,-0.85614,-0.009,0.554606,0.570253
FV74CR-S-US,ANDERSONS INC,993.847,3.97594549987709,1.24123,23.2419,20171231,3686.345,42.51,2162.354,121.73,520.244,1.5,822.899,1.51,3372.963,177.622
LBX8YH-S-US,ANDREA ELECTRONICS CORP,5.51128,0.01395500269583,385.909,,20171231,6.94424,-1.153731,1.955917,,1.189964,-0.02,0.34293,-0.02,0.266905,0.046681
QVKN0H-S-US,ANIXTER INTERNATIONAL INC,2399.37,7.01051876643557,1.60884,23.2656,20171231,7927.4,109,4252.2,,1247.9,3.21,1459,3.244,6392.5,41.1
H9T6DW-S-US,AON PLC,34728.8,8.30809173517958,7.65196,44.0193,20171231,10047,447,26088,-262,5966,4.7,4648,1.7292,6146,183
FS33FS-S-US,CLEARFIELD INC,176.897,0.53574970717423,2.70773,47.963,20170930,73.947619,3.847839,69.494037,0.444076,0,0.28,64.52512,0.28,43.68336,2.021551
VFT77X-S-US,APACHE CORP,17254.3,8.23228332033683,2.29991,20.1563,20171231,5887,1304,21922,527,8484,3.41,8791,3.42,4538,2760
SYFF0K-S-US,APOGEE ENTERPRISES INC,1388.39,5.22376286654169,2.6424,17.9234,20170228,1114.533,85.79,784.658,0,65.4,2.97,470.577,2.98,824.31,68.061
LJVJGJ-S,APPALACHIAN POWER CO,,56.7354346457276,,,20171231,2933.6,331.3,12543,1565.7,4021.6,,3804.5,,2110.1,818.1
R85KLC-S-US,APPLE INC,1004580,8.19494278384987,8.76283,18.8568,20170930,228572,48351,375319,31504,115680,9.21,134047,9.27,141702,12795
KM5N16-S-US,APPLIANCE RECYCLING CENTERS OF AMERICA INC /MN/,4.65781,0.02647272727272,0.188263,33.875,20171231,41.544,0.118,46.891,4.577,5.877,0.02,26.238,0.02,28.399,0.022
QR4XC8-S-US,APPLIED MATERIALS INC,49233.2,3.86786369723724,6.99135,16.3893,20171031,14537,3434,19424,-380,5304,3.17,9349,3.2,8029,345
QQ0TFB-S-US,ACTUANT CORP,1735.51,1.23584859183841,2.87817,,20170831,1095.784,-66.213,1516.955,29.859,561.94,-1.11,500.539,-1.11,736.541,28.195
HBT8P1-S-US,APTARGROUP INC,6473.25,6.68623257160317,4.90447,30.7988,20171231,2469.283,220.03,3137.823,20.995,1257.315,3.41,1312.048,3.52,1757.275,156.624
QXZSB0-S-US,TRECORA RESOURCES,314.983,1.22382107470296,1.67836,16.099,20171231,245.143,18.009,327.326,17.242,99.082,0.72,185.011,0.74,204.454,51.584
DKH0FF-S-US,ARCHER DANIELS MIDLAND CO,27958.9,3.63206291526199,1.49236,14.5627,20171231,60839,1595,39963,1053,7493,2.79,18375,2.8,57710,1049
G7YKMX-S-US,ARIZONA PUBLIC SERVICE CO,,17.5188792324507,,,20171231,3555.331,504.309,17791.747,1948.06,4573.292,,5385.869,,2324.786,1381.93
MCTCBQ-S-US,ARK RESTAURANTS CORP,79.5009,2.54901392111369,1.9862,22.3855,20170930,153.877,4.039,80.067,-1.491,18.196,1.14,42.44,1.18,136.599,13.904
SVZRQK-S-US,ARCBEST CORP,1189.79,6.18212307932299,1.78267,19.7447,20171231,2826.457,59.488,1365.641,43.192,268.919,2.25,651.462,2.32,2769.789,75.621
JLGFVH-S-US,ARMSTRONG WORLD INDUSTRIES INC,3593.23,2.71368844843605,8.88748,14.8987,20171231,893.5,224.1,1873.5,122.1,850.2,2.86,419.3,4.2045,572.4,89.7
HKMMSD-S-US,ARROW ELECTRONICS INC,6700.99,9.24403529048278,1.35799,13.7419,20171231,26812.508,401.962,16462.809,,3289.851,4.48,5000.224,4.53,23587.891,203.949
QWQ6VW-S-US,ARROW FINANCIAL CORP,548.609,2.72746735174481,2.1128,16.2448,20171231,112.302,29.326,2760.465,,244.966,2.1,249.603,2.11,,2.602
F5YZB7-S-US,ASSOCIATED BANC CORP,4680.96,2.12753495182865,1.30715,16.7901,20171231,1220.454,227.907,30587.286,-33.317,4073.732,1.42,3237.443,1.45,,47.369
SZKCPC-S-US,ASTEC INDUSTRIES INC,1056.23,3.77810022956642,1.49396,,20171231,1184.739,37.795,889.579,-1.067,4.044,1.63,686.765,1.64,940.947,20.046
L8SLNV-S-US,ASTRONOVA INC,124.816,1.5939049285506,1.92328,34.3396,20170131,98.448,4.228,83.665,-2.8,0,0.56,70.537,0.57,58.959,1.238
MWR1Y1-S-US,ASTRONICS CORP,1199.71,2.33318311030992,3.45633,68.1803,20171231,624.464,19.679,735.956,5.121,271.767,0.67,329.927,0.69,392.351,13.478
MP61WN-S,ATLANTIC CITY ELECTRIC CO,,31.8276923624187,,,20171231,1186,77,3445,493,1229,,1043,,1023,312
SZJPCQ-S-US,ATN INTERNATIONAL INC,1031.61,7.07401151151151,1.51572,50.4219,20171231,481.193,31.488,1205.605,31.732,155.792,1.94,830.223,1.9512,282.172,179.203
QHBDVP-S-US,ATMOS ENERGY CORP,10199.1,10.4389591680547,2.16012,16.7219,20170930,2759.735,393.23,11514.786,1878.699,3514.79,3.73,3898.666,3.7062,1787.383,1137.089
L1V3TR-S-US,AUBURN BANCORP INC,6.3288,1.05479609922032,0.927445,19.9603,20170630,3.31361,0.324656,70.893448,-0.096676,10.1,0.65,6.744203,0.65,,0.149574
TP3L3G-S-US,VOXX INTERNATIONAL CORP,125.866,0.03895896682968,0.277424,139.785,20170228,681.042,4.422,668.486,30.132,109.896,0.18,391.315,0.18,493.222,12.177
FDPZZD-S-US,AURA SYSTEMS INC,14.9173,-0.13796078384052,,,20170228,0,-7.731333,0.262263,,29.605583,-0.49,-52.806384,-0.49,0,0
F3P9JX-S-US,AGENT INFORMATION SOFTWARE INC,4.80375,0.20932318501171,1.81282,14.0625,20171231,4.959845,0.282154,4.394539,0.152,0.028704,0.06,2.496371,0.07,1.277747,0.624711
WSZW73-S-US,AUTODESK INC,28938.1,-0.29478199365716,,,20170131,2021.8,-582.1,4798.1,27.6,1490.7,-2.61,733.6,-2.61,373.7,76
RXHPCQ-S-US,AUTOMATIC DATA PROCESSING INC,58908.9,5.5278030993619,14.7171,36.6803,20170630,12379.8,1733.4,37180,163.1,2002.4,3.85,3977,3.87,6732.2,470.6
VDT3XQ-S-US,SCIENTIFIC GAMES CORP,3227.3,6.19633579436697,,,20171231,3083.6,-242.3,7725.3,73.1,8776.6,-2.72,-2027,-2.72,1847.4,293.7
TXYF8C-S-US,AV HOMES INC,478.547,1.34733029246042,1.11612,,20171231,843.253,-21.936,1010.144,-70.365,472.108,-0.98,431.97,-0.98,698.784,2.161
TVTFDF-S-US,AVERY DENNISON CORP,9891.35,8.3426754215379,9.70106,37.8428,20171231,6613.8,281.8,5136.9,-23,1581.7,3.13,1046.2,3.19,4800.8,226.1
D9QDJM-S-US,AVID TECHNOLOGY INC,227.016,0.67538913787287,,,20171231,419.003,-13.555,234.684,-1.318,210.404,-0.33,-268.57,-0.33,178.337,7.913
T67LXV-S-US,AVNET INC,5174.69,0.2348324320659,1.05012,,20170630,17439.963,302.922,9699.589,,1779.325,4.08,5182.068,2.3846,15070.521,120.397
FYNJ8L-S-US,AVON PRODUCTS INC,790.607,0.97446114834269,,34.6228,20171231,5715.6,21.7,3697.9,-181.5,1897.9,0,-246.9,-0.0032,2202.7,97.3
N2CV92-S-US,AZZ INC,1395.05,3.96795635301802,2.42023,28.6631,20170228,863.538,61.264,978.354,53.648,271.429,2.35,533.136,2.36,651.466,41.434
FNQ9KF-S-US,BADGER METER INC,1500.83,1.98028439925809,5.20264,52.0707,20171231,402.44,34.571,391.727,0.578,44.55,1.19,277.452,1.2,246.694,15.069
DMRHWL-S-US,BALCHEM CORP,3121.54,3.73695029276193,4.87705,32.299,20171231,594.79,90.071,963.636,53.329,218.964,2.79,616.881,2.83,405.781,28.117
H0KGJS-S-US,BALDWIN & LYONS INC,347.447,1.23462535735656,0.843717,29.423,20171231,357.324,18.323,1368.28,14.358,20,1.21,418.811,1.2162,,6.661
PHJ859-S-US,BALL CORP,14465.5,4.27786049707937,3.59641,30.9104,20171231,10994,374,17169,370,6971,1.05,4046,1.07,9391,556
D0LSJD-S-US,BANCFIRST CORP /OK/,2026.05,3.38293972075403,2.35039,20.1819,20171231,366.129,86.439,7265.898,-9.09,32.859,2.65,775.629,2.72,,18.007
QNX12P-S-US,BANK OF HAWAII CORP,3467.14,6.13925435987723,2.78229,17.6638,20171231,680.849,184.672,17089.052,,766.009,4.33,1231.868,4.37,,30.47
P0SM7R-S-CA,BANK OF MONTREAL,66127.6,10.1569194892039,1.67374,14.4162,20171031,27749,5348,709580,-2632,91255,7.95,44354,7.95,,791
VS6BL6-S-US,BAR HARBOR BANKSHARES,443.65,2.90178110480124,1.24634,14.0343,20171231,142.051,25.993,3571.149,-7.18,829.721,1.7,354.641,1.71,,3.157
KV597J-S-US,BARNES & NOBLE INC,429.485,1.30475039151578,1.04046,,20170430,3894.558,21.447,2086.773,86.132,64.9,0.3,574.311,0.3,2800.243,96.258
V8549L-S-US,BARNES GROUP INC,3369.01,3.30898755689254,2.68524,54.8417,20171231,1436.741,59.415,2365.716,61.344,532.596,1.09,1260.321,1.1,932.058,58.712
QYYFWV-S-US,BARNWELL INDUSTRIES INC,16.0577,-0.40750692266429,0.956329,,20170930,13.03,1.171,33.02,-0.064,0,0.14,18.183,0.14,7.462,1.188
KHSW6W-S-US,BARRETT BUSINESS SERVICES INC,672.501,5.69913804898071,8.91194,25.8455,20171231,920.432,25.17,682.485,-5.834,4.392,3.33,88.834,3.46,767.353,3.687
V70SXF-S-US,EARTHSTONE ENERGY INC,269.05,2.62570470277599,2.12132,,20171231,108.078,-12.514,834.417,10.515,25,-0.53,725.732,-0.53,57.008,121.038
C1Y5MC-S-US,BASSETT FURNITURE INDUSTRIES INC,257.127,2.62164679582712,1.33853,19.9583,20171130,452.503,18.256,300.741,-8.393,3.734,1.7,191.46,1.71,190.626,15.5
QZ2Q0V-S-US,CONSTELLATION BRANDS INC,40418.4,11.9785888593505,3.82811,17.7375,20170228,7330.4,1535.1,18602.4,1133.6,9238.1,7.52,6884.8,7.7943,3791.2,907.4
LY6TC3-S-US,BAXTER INTERNATIONAL INC,38910.3,3.90846530446796,4.26595,43.6632,20171231,10561,715,17111,-128,3512,1.29,9116,1.3168,5980,634
GX5W1M-S-US,AVALONBAY COMMUNITIES INC,24888.7,9.56367530334494,2.39385,28.5388,20171231,2148.063,874.458,18414.821,,7349.588,6.35,10394.102,6.36,1309.471,73.99
WYCCN8-S-US,APPLIED INDUSTRIAL TECHNOLOGIES INC,2782.24,5.22302046723176,3.45179,18.3418,20170630,2593.746,133.91,1387.595,-8.985,291.583,3.4,745.256,3.43,1895.728,17.045
J5XTNS-S-US,BEAZER HOMES USA INC,432.374,2.11798420146107,0.742155,,20170930,1916.278,31.813,2220.995,-307.896,1327.412,0.99,682.44,1,1622.223,12.44
QLL3Y6-S-US,BECTON DICKINSON & CO,66031,10.1121997589838,3.12173,106.517,20170930,12093,1100,37734,,18870,4.6,12948,4.7,6151,727
HLQJF6-S-US,BED BATH & BEYOND INC,2596.63,6.85185290906366,0.8941,6.52465,20170228,12215.757,685.108,6846.029,23.4,1491.603,4.58,2719.277,4.61,7639.407,373.574
XN3NP2-S-US,BEL FUSE INC,287.512,1.44049162177369,1.75126,11.7797,20171231,491.611,-11.897,431.265,-2.588,122.694,-0.99,157.96,-1.015,361.301,6.425
RGW4H5-S-US,VERIZON COMMUNICATIONS INC,215976,7.93404550888929,4.15147,6.91402,20171231,126034,30101,257143,31232,117095,7.36,44687,7.37,68510,17830
MDV1SG-S-US,BEMIS CO INC,4690,4.01362412789101,4.01269,43.2371,20171231,4046.2,94,3699.9,153.5,1563.4,1.02,1201.2,1.03,3261,188.5
LKQP3W-S-US,BERKLEY WR CORP,9249.2,4.99871832791087,1.70457,14.6983,20171231,7684.764,549.094,24299.917,86.764,2497.27,4.26,5451.163,4.4,,115.719
N138TY-S-US,BERKSHIRE HATHAWAY INC,494208,22.9028232472205,1.42227,12.4295,20171231,241419,44940,702095,56607,102587,18.22,351954,18.2173,197662,11708
KHXCX5-S-US,BEST BUY CO INC,21256.1,7.27651471767266,6.25102,22.3765,20170131,39403,1228,14215,-317,1365,3.81,4709,3.8556,30124,582
DNWR2N-S-US,BBX CAPITAL CORP,825.279,1.57281443532292,1.41248,11.6301,20171231,820.269,82.195,1698.019,43.093,714.62,0.79,656.266,0.83,184.43,22.045
TSCFG3-S-US,BIO RAD LABORATORIES INC,9304.21,7.8462622466783,2.07314,12.4029,20171231,2160.153,122.249,4273.012,222.209,435.001,4.07,2930.25,4.12,951.154,115.127
NSYR4X-S-US,BIOCRYST PHARMACEUTICALS INC,573.782,-0.61905628335759,9.22539,,20171231,25.186,-65.782,178.259,,54.722,-0.78,83.767,-0.78,1.702,0.328
P458VZ-S-US,BIOMERICA INC,33.1804,-0.10692972723069,8.20023,,20170531,5.79167,-0.908561,5.02599,-0.041,0,-0.11,4.489124,-0.11,3.769879,0.096085
JJ3FLZ-S-US,SPHERIX INC,8.77251,-0.30538922155688,1.00225,,20171231,1.236,-3.306,8.972,,0,-0.6,4.106,-0.6,,0
C4C3JP-S-US,BIOSYNERGY INC,,0.00284429504956,,,20170430,1.292569,0.107225,1.723784,0.0348,0,0.007,1.605419,0.007,0.376306,0.022196
C5HYXB-S-US,BLUE DOLPHIN ENERGY CO,10.8167,-1.65384285191287,,,20171231,258.449579,-22.32839,73.408324,,41.152883,-2.09,-4.734119,-2.09,251.348013,2.431701
P5KYNG-S-US,BLUE RIDGE REAL ESTATE CO,16.5375,-0.44922979591836,0.953748,,20171031,6.116299,-1.226861,30.017754,-0.957484,6.704588,-0.5,18.533348,-0.5,5.556033,0.287167
P8WJT7-S-US,BOEING CO,200182,21.4444359347476,,21.6252,20171231,93392,8191,92333,1498,11117,13.43,412,13.6,76066,1870
JYZQ7S-S-US,HEXION INC,,-0.86001346441925,,,20171231,3591,-234,2097,3,3709,,-2742,,3076,117
D4ZW23-S-US,BORGWARNER INC,9463.76,6.6324503152724,2.38966,17.7686,20171231,9795.9,439.9,9787.6,-59.8,2188.3,2.08,3825.9,2.09,7679.6,560
LRCFDW-S-US,BOWL AMERICA INC,76.1434,0.71900218524616,3.05332,21.1997,20170630,23.932504,2.45111,29.626313,2.035821,0,0.48,24.586393,0.4749,19.868042,0.326398
VZV54C-S-US,BP PRUDHOE BAY ROYALTY TRUST,599.2,,997.151,7.30022,20171231,78.204,77.031,1.012,,0,3.6,0.785,3.6,,
LVRYNX-S-US,BRADY CORP,1906.61,2.65044425908899,2.59551,23.8697,20170731,1113.316,95.645,1050.223,-35.456,107.764,1.84,700.14,1.8576,554.538,15.167
